cm,litros
1,5
2,14
3,26
4,40
5,55
6,73
7,92
8,112
9,133
10,156
11,180
12,205
13,230
14,257
15,284
16,311
17,342
18,372
19,403
20,434
21,467
22,500
23,533
24,567
25,602
26,638
27,674
28,710
29,747
30,785
31,823
32,862
33,901
34,940
35,980
36,1021
37,1062
38,1103
39,1145
40,1187
41,1230
42,1272
43,1316
44,1359
45,1403
46,1448
47,1492
48,1537
49,1583
50,1628
51,1674
52,1720
53,1767
54,1814
55,1861
56,1908
57,1955
58,2003
59,2051
60,2099
61,2148
62,2196
63,2245
64,2294
65,2344
66,2393
67,2443
68,2492
69,2542
70,2592
71,2643
72,2693
73,2744
74,2794
75,2845
76,2896
77,2947
78,2998
79,3049
80,3100
81,3152
82,3203
83,3255
84,3306
85,3358
86,3410
87,3462
88,3514
89,3566
90,3618
91,3669
92,3721
93,3773
94,3826
95,3878
96,3930
97,3982
98,4034
99,4086
100,4138
101,4190
102,4242
103,4294
104,4346
105,4398
106,4449
107,4501
108,4553
109,4604
110,4656
111,4707
112,4758
113,4809
114,4860
115,4911
116,4962
117,5013
118,5064
119,5114
120,5165
121,5215
122,5265
123,5315
124,5365
125,5414
126,5464
127,5513
128,5562
129,5611
130,5659
131,5708
132,5756
133,5804
134,5852
135,5899
136,5947
137,5994
138,6040
139,6087
140,6133
141,6179
142,6225
143,6270
144,6315
145,6360
146,6404
147,6448
148,6492
149,6535
150,6578
151,6621
152,6663
153,6704
154,6745
155,6786
156,6827
157,6867
158,6907
159,6946
160,6984
161,7022
162,7060
163,7097
164,7134
165,7170
166,7205
167,7240
168,7274
169,7308
170,7341
171,7373
172,7405
173,7436
174,7466
175,7495
176,7523
177,7550
178,7577
179,7603
180,7628
181,7652
182,7674
183,7696
184,7716
185,7735
186,7752
187,7768
188,7782
189,7793
190,7802
191,7807
